Timestamp,Temperature_C,Humidity_Percent
2025-07-24 00:44:27,26.2,76.0
2025-07-24 00:44:29,26.2,75.0
2025-07-24 00:44:31,26.2,76.0
2025-07-24 00:44:33,26.2,76.0
2025-07-24 00:44:35,26.2,76.0
2025-07-24 00:44:37,26.2,76.0
2025-07-24 00:44:39,26.2,76.0
2025-07-24 00:44:42,26.2,76.0
2025-07-24 00:44:43,26.2,76.0
2025-07-24 00:46:02,26.2,75.0
2025-07-24 00:46:03,26.2,75.0
2025-07-24 00:46:05,26.2,75.0
2025-07-24 00:46:08,26.2,75.0
2025-07-24 00:46:10,26.2,75.0
2025-07-24 00:46:11,26.2,75.0
2025-07-24 00:46:14,26.7,90.0
2025-07-24 00:46:16,26.7,92.0
2025-07-24 00:46:18,26.7,92.0
2025-07-24 00:46:19,26.7,92.0
2025-07-24 00:46:22,26.7,92.0
2025-07-24 00:46:24,26.7,90.0
2025-07-24 00:46:26,26.7,90.0
2025-07-24 00:46:28,26.7,89.0
2025-07-24 00:47:48,26.7,77.0
2025-07-24 00:47:51,26.7,77.0
2025-07-24 00:47:53,26.7,77.0
2025-07-24 00:47:54,26.7,77.0
2025-07-24 00:47:56,26.7,77.0
2025-07-24 00:47:59,26.7,77.0
2025-07-24 00:48:01,26.7,77.0
2025-07-24 00:48:03,26.7,77.0
2025-07-24 00:48:04,26.7,77.0
2025-07-24 01:00:04,26.7,77.0
2025-07-24 01:00:06,26.7,76.0
2025-07-24 01:00:08,26.7,77.0
2025-07-24 01:00:10,26.7,77.0
2025-07-24 01:03:37,26.7,77.0
2025-07-24 01:03:39,26.7,77.0
2025-07-24 01:03:41,26.7,77.0
2025-07-24 01:03:43,26.7,77.0
2025-07-24 01:03:45,26.7,77.0
2025-07-24 01:03:47,26.7,77.0
2025-07-24 01:03:49,26.7,77.0
2025-07-24 01:03:52,26.7,77.0
2025-07-24 01:06:46,27.1,76.0
2025-07-24 01:06:48,27.1,75.0
2025-07-24 01:06:50,27.1,75.0
2025-07-24 01:06:52,27.1,75.0
2025-07-24 01:06:54,27.1,75.0
2025-07-24 01:06:56,27.1,75.0
2025-07-24 01:06:58,27.1,75.0
2025-07-24 01:07:00,27.1,75.0
2025-07-24 01:07:02,27.1,75.0
2025-07-24 01:07:04,27.1,75.0
2025-07-24 01:07:06,27.1,75.0
2025-07-24 01:07:08,27.1,75.0
2025-07-24 01:10:45,27.1,74.0
2025-07-24 01:10:47,27.1,74.0
2025-07-24 01:10:49,27.1,74.0
2025-07-24 01:10:51,27.1,74.0
2025-07-24 01:10:53,27.1,74.0
2025-07-24 01:10:55,27.1,74.0
2025-07-24 01:10:57,27.1,74.0
2025-07-24 01:10:59,27.1,75.0
2025-07-24 01:11:01,27.1,75.0
2025-07-24 01:11:03,27.1,75.0
2025-07-24 01:11:05,27.1,75.0
2025-07-24 01:11:07,27.1,74.0
2025-07-24 01:11:09,27.1,74.0
2025-07-24 01:11:11,27.1,74.0
2025-07-24 01:15:34,27.1,74.0
2025-07-24 01:15:36,27.1,74.0
2025-07-24 01:15:38,27.1,74.0
2025-07-24 01:15:40,27.1,74.0
2025-07-24 01:15:42,27.1,74.0
2025-07-24 01:15:44,27.1,74.0
2025-07-24 01:15:46,27.1,74.0
2025-07-24 01:15:48,27.1,74.0
2025-07-24 01:15:50,27.1,74.0
2025-07-24 01:15:52,27.1,74.0
2025-07-24 01:15:54,27.1,74.0
2025-07-24 01:15:56,27.1,74.0
2025-07-24 01:15:58,27.1,77.0
2025-07-24 01:16:00,28.0,91.0
2025-07-24 01:16:02,28.0,90.0
2025-07-24 01:16:04,28.0,89.0
2025-07-24 01:16:06,28.0,89.0
2025-07-24 01:18:27,27.6,75.0
2025-07-24 01:18:29,27.6,75.0
2025-07-24 01:18:31,27.6,75.0
2025-07-24 01:18:33,27.6,74.0
2025-07-24 01:18:35,27.6,74.0
2025-07-24 01:18:37,27.6,75.0
2025-07-24 01:18:39,27.6,75.0
2025-07-24 01:18:41,27.6,75.0
2025-07-24 01:18:43,27.6,75.0
